Date,Hours,PC
01-01-2013,00 - 01,9796
01-01-2013,01 - 02,9494
01-01-2013,02 - 03,9265
01-01-2013,03 - 04,9161
01-01-2013,04 - 05,9240
01-01-2013,05 - 06,9419
01-01-2013,06 - 07,9400
01-01-2013,07 - 08,9554
01-01-2013,08 - 09,9524
01-01-2013,09 - 10,9593
01-01-2013,10 - 11,9778
01-01-2013,11 - 12,9870
01-01-2013,12 - 13,9932
01-01-2013,13 - 14,10098
01-01-2013,14 - 15,10360
01-01-2013,15 - 16,10731
01-01-2013,16 - 17,10826
01-01-2013,17 - 18,10818
01-01-2013,18 - 19,10829
01-01-2013,19 - 20,10641
01-01-2013,20 - 21,10330
01-01-2013,21 - 22,10613
01-01-2013,22 - 23,10399
01-01-2013,23 - 00,9940
02-01-2013,00 - 01,9510
02-01-2013,01 - 02,9323
02-01-2013,02 - 03,9205
02-01-2013,03 - 04,9245
02-01-2013,04 - 05,9610
02-01-2013,05 - 06,10507
02-01-2013,06 - 07,11040
02-01-2013,07 - 08,11493
02-01-2013,08 - 09,11517
02-01-2013,09 - 10,11375
02-01-2013,10 - 11,11361
02-01-2013,11 - 12,11381
02-01-2013,12 - 13,11339
02-01-2013,13 - 14,11306
02-01-2013,14 - 15,11490
02-01-2013,15 - 16,11701
02-01-2013,16 - 17,11640
02-01-2013,17 - 18,11685
02-01-2013,18 - 19,11638
02-01-2013,19 - 20,11455
02-01-2013,20 - 21,10951
02-01-2013,21 - 22,11070
02-01-2013,22 - 23,10729
02-01-2013,23 - 00,10155
03-01-2013,00 - 01,9800
03-01-2013,01 - 02,9519
03-01-2013,02 - 03,9373
03-01-2013,03 - 04,9432
03-01-2013,04 - 05,9738
03-01-2013,05 - 06,10648
03-01-2013,06 - 07,11097
03-01-2013,07 - 08,11420
03-01-2013,08 - 09,11366
03-01-2013,09 - 10,11295
03-01-2013,10 - 11,11256
03-01-2013,11 - 12,11280
03-01-2013,12 - 13,11266
03-01-2013,13 - 14,11307
03-01-2013,14 - 15,11582
03-01-2013,15 - 16,11814
03-01-2013,16 - 17,11782
03-01-2013,17 - 18,11687
03-01-2013,18 - 19,11737
03-01-2013,19 - 20,11532
03-01-2013,20 - 21,11056
03-01-2013,21 - 22,11198
03-01-2013,22 - 23,10853
03-01-2013,23 - 00,10296
04-01-2013,00 - 01,9937
04-01-2013,01 - 02,9751
04-01-2013,02 - 03,9667
04-01-2013,03 - 04,9710
04-01-2013,04 - 05,10049
04-01-2013,05 - 06,10968
04-01-2013,06 - 07,11445
04-01-2013,07 - 08,11726
04-01-2013,08 - 09,11689
04-01-2013,09 - 10,11510
04-01-2013,10 - 11,11506
04-01-2013,11 - 12,11493
04-01-2013,12 - 13,11498
04-01-2013,13 - 14,11424
04-01-2013,14 - 15,11593
04-01-2013,15 - 16,11895
04-01-2013,16 - 17,11892
04-01-2013,17 - 18,11845
