Date,PC
01-01-2016,10005
01-01-2016,9722
01-01-2016,9599
01-01-2016,9524
01-01-2016,9601
01-01-2016,9793
01-01-2016,9815
01-01-2016,9998
01-01-2016,10035
01-01-2016,10098
01-01-2016,10345
01-01-2016,10478
01-01-2016,10551
01-01-2016,10646
01-01-2016,11104
01-01-2016,11463
01-01-2016,11494
01-01-2016,11518
01-01-2016,11594
01-01-2016,11412
01-01-2016,11076
01-01-2016,11271
01-01-2016,11167
01-01-2016,10709
02-01-2016,10370
02-01-2016,10136
02-01-2016,10036
02-01-2016,10074
02-01-2016,10131
02-01-2016,10442
02-01-2016,10522
02-01-2016,10926
02-01-2016,11100
02-01-2016,11237
02-01-2016,11315
02-01-2016,11353
02-01-2016,11361
02-01-2016,11437
02-01-2016,11717
02-01-2016,12224
02-01-2016,12450
02-01-2016,12355
02-01-2016,12247
02-01-2016,11984
02-01-2016,11728
02-01-2016,11784
02-01-2016,11717
02-01-2016,11267
03-01-2016,10925
03-01-2016,10655
03-01-2016,10486
03-01-2016,10432
03-01-2016,10498
03-01-2016,10609
03-01-2016,10603
03-01-2016,10818
03-01-2016,10905
03-01-2016,11006
03-01-2016,11215
03-01-2016,11307
03-01-2016,11280
03-01-2016,11287
03-01-2016,11558
03-01-2016,11894
03-01-2016,11984
03-01-2016,11990
03-01-2016,11943
03-01-2016,11756
03-01-2016,11475
03-01-2016,11721
03-01-2016,11626
03-01-2016,11253
04-01-2016,10925
04-01-2016,10684
04-01-2016,10622
04-01-2016,10758
04-01-2016,11164
04-01-2016,12024
04-01-2016,12584
04-01-2016,12959
04-01-2016,12927
04-01-2016,12932
04-01-2016,12969
04-01-2016,12922
04-01-2016,12918
04-01-2016,12872
04-01-2016,13051
04-01-2016,13287
04-01-2016,13217
04-01-2016,13136
04-01-2016,13186
04-01-2016,12997
04-01-2016,12481
04-01-2016,12645
04-01-2016,12481
04-01-2016,12050
05-01-2016,11741
05-01-2016,11504
05-01-2016,11417
05-01-2016,11565
05-01-2016,11910
05-01-2016,12771
05-01-2016,13105
05-01-2016,13590
05-01-2016,13514
05-01-2016,13469
05-01-2016,13447
05-01-2016,13378
05-01-2016,13374
05-01-2016,13342
05-01-2016,13472
05-01-2016,13803
05-01-2016,13820
05-01-2016,13752
05-01-2016,13934
05-01-2016,13539
05-01-2016,13066
05-01-2016,13301
05-01-2016,13197
05-01-2016,12765
06-01-2016,12335
06-01-2016,12167
06-01-2016,12023
06-01-2016,12110
06-01-2016,12316
06-01-2016,12532
06-01-2016,12620
06-01-2016,12945
06-01-2016,13083
06-01-2016,13224
06-01-2016,13482
06-01-2016,13551
06-01-2016,13428
06-01-2016,13441
06-01-2016,13663
06-01-2016,14066
06-01-2016,14094
06-01-2016,14182
06-01-2016,14259
06-01-2016,14132
06-01-2016,13710
06-01-2016,13760
06-01-2016,13672
06-01-2016,13285
07-01-2016,13011
07-01-2016,12821
07-01-2016,12821
07-01-2016,12953
07-01-2016,13399
07-01-2016,14160
07-01-2016,14523
07-01-2016,14888
07-01-2016,14808
07-01-2016,14797
07-01-2016,14791
07-01-2016,14747
07-01-2016,14670
07-01-2016,14647
07-01-2016,14716
07-01-2016,15075
07-01-2016,15105
07-01-2016,15043
07-01-2016,14982
07-01-2016,14829
07-01-2016,14342
07-01-2016,14303
07-01-2016,14074
07-01-2016,13643
08-01-2016,13369
08-01-2016,13142
08-01-2016,13111
08-01-2016,13213
08-01-2016,13602
08-01-2016,14414
08-01-2016,14631
08-01-2016,14802
08-01-2016,14750
08-01-2016,14676
08-01-2016,14650
08-01-2016,14553
08-01-2016,14374
08-01-2016,14213
08-01-2016,14239
08-01-2016,14421
08-01-2016,14457
08-01-2016,14399
08-01-2016,14358
08-01-2016,14011
08-01-2016,13515
08-01-2016,13499
08-01-2016,13223
08-01-2016,12729
09-01-2016,12340
09-01-2016,12151
09-01-2016,12056
09-01-2016,11957
09-01-2016,12070
09-01-2016,12286
09-01-2016,12327
09-01-2016,12718
09-01-2016,12846
09-01-2016,12971
09-01-2016,13019
09-01-2016,12935
09-01-2016,12876
09-01-2016,12839
09-01-2016,12972
09-01-2016,13416
09-01-2016,13537
09-01-2016,13640
09-01-2016,13553
09-01-2016,13214
09-01-2016,12788
09-01-2016,12909
09-01-2016,12825
09-01-2016,12440
10-01-2016,12142
10-01-2016,11915
10-01-2016,11760
10-01-2016,11768
10-01-2016,11814
10-01-2016,11964
10-01-2016,11900
10-01-2016,12179
10-01-2016,12239
10-01-2016,12453
10-01-2016,12639
10-01-2016,12736
10-01-2016,12653
10-01-2016,12649
10-01-2016,12821
10-01-2016,13261
10-01-2016,13310
10-01-2016,13267
10-01-2016,13197
10-01-2016,13003
10-01-2016,12612
10-01-2016,12792
10-01-2016,12684
10-01-2016,12340
11-01-2016,12026
11-01-2016,11738
11-01-2016,11658
11-01-2016,11772
11-01-2016,12201
11-01-2016,13182
11-01-2016,13542
11-01-2016,13853
11-01-2016,13747
11-01-2016,13620
11-01-2016,13556
11-01-2016,13521
11-01-2016,13474
11-01-2016,13460
11-01-2016,13597
11-01-2016,13720
11-01-2016,13615
11-01-2016,13422
11-01-2016,13375
11-01-2016,13191
11-01-2016,12646
11-01-2016,12544
11-01-2016,12378
11-01-2016,11905
12-01-2016,11562
12-01-2016,11362
12-01-2016,11271
12-01-2016,11346
12-01-2016,11834
12-01-2016,12755
12-01-2016,12983
12-01-2016,13251
12-01-2016,13130
12-01-2016,13021
12-01-2016,13049
12-01-2016,13092
12-01-2016,13060
12-01-2016,13020
12-01-2016,13103
12-01-2016,13369
12-01-2016,13401
12-01-2016,13318
12-01-2016,13268
12-01-2016,13146
12-01-2016,12629
12-01-2016,12646
12-01-2016,12385
12-01-2016,11968
13-01-2016,11643
13-01-2016,11418
13-01-2016,11470
13-01-2016,11557
13-01-2016,12023
13-01-2016,12856
13-01-2016,13340
13-01-2016,13618
13-01-2016,13524
13-01-2016,13446
13-01-2016,13379
13-01-2016,13386
13-01-2016,13282
13-01-2016,13247
13-01-2016,13337
13-01-2016,13568
13-01-2016,13597
13-01-2016,13586
13-01-2016,13631
13-01-2016,13418
13-01-2016,12868
13-01-2016,12871
13-01-2016,12597
13-01-2016,12159
14-01-2016,11825
14-01-2016,11613
14-01-2016,11484
14-01-2016,11567
14-01-2016,12001
14-01-2016,12967
14-01-2016,13393
14-01-2016,13528
14-01-2016,13251
14-01-2016,13203
14-01-2016,13173
14-01-2016,13183
14-01-2016,13127
14-01-2016,13113
14-01-2016,13306
14-01-2016,13567
14-01-2016,13527
14-01-2016,13414
14-01-2016,13454
14-01-2016,13320
14-01-2016,12878
14-01-2016,12817
14-01-2016,12591
14-01-2016,12124
15-01-2016,11848
15-01-2016,11660
15-01-2016,11685
15-01-2016,11768
15-01-2016,12163
15-01-2016,13110
15-01-2016,13596
15-01-2016,13718
15-01-2016,13533
15-01-2016,13381
15-01-2016,13310
15-01-2016,13342
15-01-2016,13275
15-01-2016,13156
15-01-2016,13254
15-01-2016,13624
15-01-2016,13709
15-01-2016,13671
15-01-2016,13630
15-01-2016,13421
15-01-2016,13000
15-01-2016,13087
15-01-2016,12834
15-01-2016,12323
16-01-2016,11933
16-01-2016,11746
16-01-2016,11711
16-01-2016,11728
16-01-2016,11883
16-01-2016,12170
16-01-2016,12259
16-01-2016,12653
16-01-2016,12724
16-01-2016,12876
16-01-2016,12877
16-01-2016,12828
16-01-2016,12659
16-01-2016,12552
16-01-2016,12751
16-01-2016,13304
16-01-2016,13643
16-01-2016,13738
16-01-2016,13623
16-01-2016,13203
16-01-2016,12765
16-01-2016,12783
16-01-2016,12687
16-01-2016,12231
17-01-2016,11837
17-01-2016,11594
17-01-2016,11514
17-01-2016,11493
17-01-2016,11523
17-01-2016,11676
17-01-2016,11590
17-01-2016,11921
17-01-2016,12030
17-01-2016,12269
17-01-2016,12472
17-01-2016,12503
17-01-2016,12477
17-01-2016,12451
17-01-2016,12565
17-01-2016,13114
17-01-2016,13367
17-01-2016,13404
17-01-2016,13465
17-01-2016,13216
17-01-2016,12907
17-01-2016,13121
17-01-2016,12991
17-01-2016,12657
18-01-2016,12325
18-01-2016,12166
18-01-2016,12165
18-01-2016,12341
18-01-2016,12767
18-01-2016,13704
18-01-2016,14153
18-01-2016,14434
18-01-2016,14300
18-01-2016,14224
18-01-2016,14211
18-01-2016,14164
18-01-2016,14061
18-01-2016,13973
18-01-2016,13972
18-01-2016,14148
18-01-2016,14213
18-01-2016,14113
18-01-2016,14108
18-01-2016,14025
18-01-2016,13555
18-01-2016,13504
18-01-2016,13278
18-01-2016,12911
